Year,TotalHomeless
2008,2057.0
2009,2139.869948430062
2010,2494.978858731653
2011,2970.0788580937674
2012,3475.829722539337
2013,3971.3997388195876
2014,4439.159051135976
2015,4872.570826613757
2016,5270.334148467775
2017,5633.540865957595
2018,5964.298423090782
2019,6265.068522485672
2020,6538.355571376541
2021,6786.565621857151
2022,7011.9480662027145
2023,7216.576918505601
2024,7402.350720670615
2025,7571.000690126928
2026,7724.102226138945
2027,7863.087288111094
2028,7989.256743766525
2029,8103.791928613693
2030,8207.765475419048
2031,8302.151244686427
2032,8387.833139899767
2033,8465.613980465429
2034,8536.222310201452
2035,8600.319515769601
2036,8658.506009781742
2037,8711.326860153988
2038,8759.276863817744
2039,8802.805159646488
2040,8842.31949564021
2041,8878.190021039949
2042,8910.75275240109
2043,8940.312757357839
2044,8967.146888552057
2045,8991.506512685979
2046,9013.619814954392
2047,9033.693925432082
2048,9051.916869579878
2049,9068.459384230848
2050,9083.476453640278
2051,9097.108723994304
2052,9109.483899437704
2053,9120.717898882967
2054,9130.915941738402
2055,9140.173527057324
2056,9148.577406037883
2057,9156.206348297497
2058,9163.131896980076
