Year,MedianSalesPrice
2008,112196.957755978
2009,118881.205517066
2010,125565.453278155
2011,132249.701039244
2012,138933.948800333
2013,145618.196561421
2014,152302.44432251
2015,158986.692083599
2016,165670.939844688
2017,172355.187605777
2018,179039.435366865
2019,185723.683127954
2020,192407.930889043
2021,199092.178650132
2022,205776.426411221
2023,212460.674172309
2024,219144.921933398
2025,225829.169694487
2026,232513.417455576
2027,239197.665216665
2028,245881.912977753
2029,252566.160738842
2030,259250.408499931
2031,265934.65626102
2032,272618.904022108
2033,279303.151783197
2034,285987.399544286
2035,292671.647305375
2036,299355.895066464
2037,306040.142827552
2038,312724.390588641
2039,319408.63834973
2040,326092.886110819
2041,332777.133871908
2042,339461.381632996
2043,346145.629394085
2044,352829.877155174
2045,359514.124916263
2046,366198.372677352
2047,372882.62043844
2048,379566.868199529
2049,386251.115960618
2050,392935.363721707
2051,399619.611482796
2052,406303.859243884
2053,412988.107004973
2054,419672.354766062
2055,426356.602527151
2056,433040.850288239
2057,439725.098049328
2058,446409.345810417
